ham|trying weekend v|(2000,[213,786,1477],[1.0,1.0,1.0])
spam|want new video phone anytime network mins text five pounds per week call reply delivery tomorrow|(2000,[15,25,73,74,517,1122,1128,1146,1169,1196,1440,1526,1624,1712,1974],[1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|think spatula hands|(2000,[134,1564,1952],[1.0,1.0,1.0])
ham|thursday night yeah sure thing ll work|(2000,[76,511,1249,1466,1527,1675,1821],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|went pay rent go bank authorise payment|(2000,[77,187,394,475,982,1371,1383],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|omw back tampa west palm hear happened|(2000,[430,458,842,1085,1552,1629,1847],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|okay shining meant signing sounds better|(2000,[758,941,1038,1546,1550,1766],[1.0,1.0,1.0,1.0,1.0,1.0])
ham|tell bad character u dnt lik ll try change ll add tat new year resolution waiting ur reply frank good morning|(2000,[19,25,159,168,203,432,511,517,755,800,899,1086,1158,1308,1526,1556,1850,1885,1903,1969],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|dun thk ll quit yet hmmm go jazz yogasana oso go meet em lessons den|(2000,[77,274,429,511,718,817,853,1018,1154,1348,1718,1903,1908,1940],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|search happiness d main sources unhappiness accept life way comes u find happiness every moment u live|(2000,[146,250,341,429,493,846,1051,1094,1121,1159,1477,1510,1526,1637,1936],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0])
ham|yup already thanx printing n handing|(2000,[57,1043,1500,1655,1762,1894],[1.0,1.0,1.0,1.0,1.0,1.0])
ham|watching cartoon listening music eve go temple church u|(2000,[43,77,99,275,294,335,1326,1526,1709],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|dai da send resume id|(2000,[781,928,1294,1523,1793],[1.0,1.0,1.0,1.0,1.0])
ham|reach home call|(2000,[1045,1146,1365],[1.0,1.0,1.0])
ham|ok|(2000,[484],[1.0])
ham|babe miiiiiiissssssssss need crave geeee m sad without babe love|(2000,[240,396,537,638,803,826,860,884,1496],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0])
ham|arrived see couple days|(2000,[732,858,1426,1515],[1.0,1.0,1.0,1.0])
ham|still chance search hard get let try|(2000,[146,159,1125,1164,1362,1800,1959],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|hey r watching movie tonight ll prob b home early|(2000,[275,372,511,1170,1206,1305,1361,1365,1501,1570],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|met stranger choose friend long world stands friendship never ends lets friends forever gud nitz|(2000,[61,126,338,442,478,595,660,706,727,904,1097,1150,1187,1238,1922],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|way|(2000,[1159],[1.0])
ham|know u mean king havin credit m goin bed night night sweet sleep|(2000,[76,354,494,638,909,1134,1526,1644,1735,1779,1780,1961],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|yep pretty sculpture|(2000,[540,973,1993],[1.0,1.0,1.0])
ham|friendship game play word say doesn start march ends may tomorrow yesterday today e|(2000,[25,141,173,338,595,666,975,996,1390,1462,1500,1519,1852,1878],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|kothi print marandratha|(2000,[886,957,1118],[1.0,1.0,1.0])
ham|would good ll phone tomo lunchtime shall organise something|(2000,[163,168,367,511,539,954,1553,1624,1672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|wife knew time murder exactly|(2000,[95,157,1021,1282,1427],[1.0,1.0,1.0,1.0,1.0])
ham|yup wun believe wat u really neva c e msg sent shuhui|(2000,[117,397,986,1190,1310,1324,1515,1526,1722,1776,1878,1894],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|quite ok bit ex u better go eat smth else ll feel guilty|(2000,[77,446,461,484,511,828,941,1034,1115,1255,1433,1526,1936],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])
ham|possible teach|(2000,[100,1302],[1.0,1.0])
ham|captain room|(2000,[494,1082],[1.0,1.0])
ham|please da call mistake side sorry da pls da goto doctor|(2000,[181,520,682,841,1146,1337,1781,1791,1793],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0])
ham|anything special|(2000,[114,817],[1.0,1.0])
ham|message responce happend|(2000,[1224,1563,1981],[1.0,1.0,1.0])
